,portfolio
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-29,-0.0014999999999999998
2016-03-01,0.035890820552059735
2016-03-02,0.052988213405320166
2016-03-03,0.0038483454466859113
2016-03-04,-0.013981834656145862
2016-03-07,0.02396896729730917
2016-03-08,0.002493747032756751
2016-03-09,-0.03100714703669403
2016-03-10,-0.017956407527039312
2016-03-11,0.005357843074491213
2016-03-14,0.0372762180469564
2016-03-15,-0.009988283838226867
2016-03-16,-0.0013749804935188183
2016-03-17,0.03766252227713639
2016-03-18,0.036269923042072924
2016-03-21,0.045859012579133364
2016-03-22,-0.005640259642030429
2016-03-23,0.008798824263368482
2016-03-24,-0.027101391289250147
2016-03-25,0.0007300944901738162
2016-03-28,-0.010763354027678224
2016-03-29,-0.01333865446909017
2016-03-30,0.03968186613502682
2016-03-31,-0.0007325362885796572
2016-04-01,-0.0036658796112003845
2016-04-05,0.02076810172323814
2016-04-06,-0.00195929860612332
2016-04-07,-0.018740287743851718
2016-04-08,-0.013748472998252588
2016-04-11,0.022659162297752257
2016-04-12,-0.004092680184301576
2016-04-13,0.020984736865203944
2016-04-14,0.006779064299012648
2016-04-15,-0.0041699949455195244
2016-04-18,-0.022593825966593484
2016-04-19,0.0038607666104477152
2016-04-20,-0.035771025136052285
2016-04-21,-0.012031645499280624
2016-04-22,0.0063369903041249195
2016-04-25,-0.004287919756612804
2016-04-26,0.008188132069841918
2016-04-27,-0.010252942576201086
2016-04-28,0.0006696688869988604
2016-04-29,-0.003913586006063476
2016-05-03,0.023331444160717713
2016-05-04,-0.00393944520960559
2016-05-05,0.004254952437253844
2016-05-06,-0.03972160621077256
2016-05-09,-0.04318533529075588
2016-05-10,-0.002696028845092365
2016-05-11,-0.003095924868003378
2016-05-12,0.0015911855863429988
2016-05-13,-0.003505442191031415
2016-05-16,0.009996132193778248
2016-05-17,0.004673610932531524
2016-05-18,-0.016556753623476864
2016-05-19,-0.0009318968895464832
2016-05-20,0.009655254885213531
2016-05-23,0.006173185544518367
2016-05-24,-0.012730867658259008
2016-05-25,0.001536644672489096
2016-05-26,0.00037390334957272025
2016-05-27,-0.0017179115102893684
2016-05-30,-0.0013722987124394981
2016-05-31,0.050687242737717124
2016-06-01,0.0058695320764150065
2016-06-02,0.010561533617937841
2016-06-03,0.0056095916389038184
2016-06-06,0.006721422259673075
2016-06-07,0.0004113117204053011
2016-06-08,0.0007502753782675774
2016-06-13,-0.03886295929501521
2016-06-14,0.008779732056243248
2016-06-15,0.028942119014309216
2016-06-16,1.153475624428047e-05
2016-06-17,0.005252093495307605
2016-06-20,0.00985165759491691
2016-06-21,-0.010042938958565386
2016-06-22,0.013094652676817616
2016-06-23,-0.0074656171600723485
2016-06-24,-0.009823342535922598
2016-06-27,0.02022994354636245
2016-06-28,-0.0003235495280727679
2016-06-29,-0.0003792622955538133
2016-06-30,-0.00887036832836604
2016-07-01,-0.0016742291319631418
2016-07-04,0.016912721132148277
2016-07-05,0.004066527149963331
2016-07-06,0.006872340847164574
2016-07-07,0.012802609302628234
2016-07-08,-0.013677848915021178
2016-07-11,0.002507127103731422
2016-07-12,0.015070171312894747
2016-07-13,0.00465155077460058
2016-07-14,-0.0005035396160669763
2016-07-15,-0.0027790130678219675
2016-07-18,-0.009079361839072576
2016-07-19,-0.005177173039101539
2016-07-20,-0.0008969416526974216
2016-07-21,0.004058659750556004
2016-07-22,-0.015062122570043343
2016-07-25,0.0004463360104708528
2016-07-26,0.014319606292889841
2016-07-27,-0.032383394708743206
2016-07-28,0.0020450116336131327
2016-07-29,-0.004434200389458515
2016-08-01,-0.008880859051372763
2016-08-02,0.006585735524075216
2016-08-03,0.0019759150824437207
2016-08-04,0.006094466350777033
2016-08-05,-0.007757899800916932
2016-08-08,0.011463615175491654
2016-08-09,0.009022825752469033
2016-08-10,0.0017350234342222413
2016-08-11,-0.011423872541592007
2016-08-12,0.009303913506757622
2016-08-15,0.0250970569184535
2016-08-16,-0.002543226771749415
2016-08-17,6.824430540906741e-05
2016-08-18,-0.004114058416078059
2016-08-19,-0.0005903472780998303
2016-08-22,-0.006896676443116782
2016-08-23,-0.0034705430983179852
2016-08-24,-0.0032739109034449904
2016-08-25,-0.00399482833379149
2016-08-26,-0.000438611636248561
2016-08-29,-2.7211851242203808e-05
2016-08-30,0.0032772123780346403
2016-08-31,0.0009185229127913717
2016-09-01,-0.007328517815453108
2016-09-02,-0.005840406390246197
2016-09-05,-0.00030865990196600197
2016-09-06,0.01611191401061937
2016-09-07,-0.006499714077357844
2016-09-08,0.004293862736373625
2016-09-09,-0.005854055629109192
2016-09-12,-0.033310355470381796
2016-09-13,-0.0008188013458229396
2016-09-14,-0.00014240133143713632
2016-09-19,0.010325399069040604
2016-09-20,0.00015211239750386723
2016-09-21,-0.0016062102029677358
2016-09-22,0.0006849093648352733
2016-09-23,-0.005547466760776103
2016-09-26,-0.020429488218433305
2016-09-27,0.005062242305789907
2016-09-28,-0.0011545321494780712
2016-09-29,0.004143522462802653
2016-09-30,0.003147731972810613
2016-10-10,0.02284163872397749
2016-10-11,0.004282877510869102
2016-10-12,0.0023711642881142953
2016-10-13,-0.0030997680843983543
2016-10-14,-0.0023413636315327106
2016-10-17,-0.00497256395240773
2016-10-18,0.018923473870921803
2016-10-19,-0.0043288559856461475
2016-10-20,0.0036186304258328974
2016-10-21,-0.005374250174189029
2016-10-24,0.009841815471133775
2016-10-25,-0.0002742815285133836
2016-10-26,-0.0017189169959234032
2016-10-27,-0.0018065475230085574
2016-10-28,-0.007519365934621167
2016-10-31,-0.0003982623715590556
2016-11-01,0.007722091696686335
2016-11-02,-0.004269845558742899
2016-11-03,0.004397275116773118
2016-11-04,-0.0021307959608788726
2016-11-07,-0.0014486450753209794
2016-11-08,0.006229803328460463
2016-11-09,-0.0031083154001421438
2016-11-10,0.014743015377209262
2016-11-11,0.004027993255588031
2016-11-14,0.004932497961774366
2016-11-15,-0.0008482151935509717
2016-11-16,-0.0017088462300019296
2016-11-17,-0.0032260099974416
2016-11-18,-0.004573121101758316
2016-11-21,0.0038784020443629386
2016-11-22,0.00437923258155997
2016-11-23,-0.0007379233161955364
2016-11-24,0.0011406268538389922
2016-11-25,0.007121242177939661
2016-11-28,0.0036904150614421503
2016-11-29,0.0038258771025164767
2016-11-30,-0.013242689577412698
2016-12-01,0.005465564683360101
2016-12-02,-0.015367557799082016
2016-12-05,-0.003881883136978006
2016-12-06,0.0006194755364611557
2016-12-07,0.00895945342355854
2016-12-08,-0.002030928942175987
2016-12-09,-0.0035500053434095527
2016-12-12,-0.04066671267429544
2016-12-13,0.0012876410942384722
2016-12-14,-0.008692709600218953
2016-12-15,0.0036572760416527465
2016-12-16,0.0026225629404289285
2016-12-19,-0.0023296549894798045
2016-12-20,-0.006154835720392198
2016-12-21,0.007548045979882273
2016-12-22,-0.002443951419765189
2016-12-23,-0.010687196936605687
2016-12-26,0.005739578667586094
2016-12-27,-0.0018153277922284014
2016-12-28,-0.007012625599033483
2016-12-29,0.002753458503997327
2016-12-30,0.003632239416841301
2017-01-03,0.004688624729563326
2017-01-04,0.02230472037555166
2017-01-05,-9.533449487143886e-05
2017-01-06,-0.006208720090242374
2017-01-09,0.00242993458115501
2017-01-10,-0.003965749757311587
2017-01-11,-0.004065976972721
2017-01-12,-0.008667992657162569
2017-01-13,-0.005098795717339651
2017-01-16,-0.016928568945046185
2017-01-17,0.007429844927451124
2017-01-18,-0.0024413646203394765
2017-01-19,-0.0035120985503598766
2017-01-20,0.01444359321736367
2017-01-23,0.006251257753497272
2017-01-24,-0.0027833033822723587
2017-01-25,0.004081947750548727
2017-01-26,0.004042674979859299
2017-02-03,-0.00962836546950144
2017-02-06,0.008921505393101301
2017-02-07,-0.001203717965316631
2017-02-08,0.01132288817284854
2017-02-09,0.006400413547472918
2017-02-10,0.0017322591522579826
2017-02-13,0.00802574626170282
2017-02-14,-0.0025713085077077916
2017-02-15,-0.012938606152917285
2017-02-16,0.008816643408717788
2017-02-17,-0.007252090097090912
2017-02-20,0.01260929801183363
2017-02-21,0.012247161615430158
2017-02-22,0.0025496945455319373
2017-02-23,0.0021541866812751203
2017-02-24,-0.0017135758834581401
2017-02-27,-0.007279673592245887
2017-02-28,0.004394958217808328
2017-03-01,0.0020377372146763123
2017-03-02,-0.005662811610074255
2017-03-03,-0.00030021040342118944
2017-03-06,0.003890077568556502
2017-03-07,0.0009108594130793348
2017-03-08,-0.0009106172805522062
2017-03-09,-0.007479082690486701
2017-03-10,-0.0006169337263957261
2017-03-13,0.005936425902430986
2017-03-14,-0.0012699006037021527
2017-03-15,0.0009444692325019211
2017-03-16,0.005782827181339238
2017-03-17,-0.010118793468915385
2017-03-20,0.0026179786297031767
2017-03-21,0.0029485166772509484
2017-03-22,-0.004059644140887178
2017-03-23,-0.0007333143306862298
2017-03-24,0.007682087862643692
2017-03-27,0.003388955685127112
2017-03-28,-0.001827739601396827
2017-03-29,-0.0038942231592894784
2017-03-30,-0.009525126412012728
2017-03-31,0.006225793129168776
2017-04-05,0.0123677380822395
2017-04-06,0.006754659305162926
2017-04-07,0.0016407205669613846
2017-04-10,-0.004387688797587834
2017-04-11,0.0007942402390866115
2017-04-12,-0.003264058620577562
2017-04-13,0.005126642334871252
2017-04-14,-0.008549029014101619
2017-04-17,-0.0015527052546442082
2017-04-18,0.010970810378827698
2017-04-19,-0.0009325623724305196
2017-04-20,0.013226529329520982
2017-04-21,-0.006733222698576535
2017-04-24,-0.014891667501514598
2017-04-25,0.011448207993842972
2017-04-26,-0.002354730350921808
2017-04-27,0.004578544861914129
2017-04-28,-0.003082032963099274
2017-05-02,0.001476067835978263
2017-05-03,0.005185920528477372
2017-05-04,-0.005907398037511539
2017-05-05,-0.009449515518713687
2017-05-08,-0.01150552464739185
2017-05-09,0.0005723559265378292
2017-05-10,-0.006381184558263704
2017-05-11,0.008506370426088896
2017-05-12,0.007369056640422286
2017-05-15,0.004794220797182677
2017-05-16,0.019271776094300152
2017-05-17,-0.007585892455043263
2017-05-18,3.339329778232706e-06
2017-05-19,0.0009078230868485505
2017-05-22,0.002031223407296142
2017-05-23,0.0006904973581461393
2017-05-24,-0.00010633332444114318
2017-05-25,0.005954209547967489
2017-05-26,0.00028268691685688575
2017-05-31,0.001312524000331762
2017-06-01,0.0007783444866266138
2017-06-02,0.001319970116686911
2017-06-05,0.00018962567144131782
2017-06-06,0.009717292511777024
2017-06-07,0.018972435380387762
2017-06-08,0.008202363320427657
2017-06-09,0.008657355166373514
2017-06-12,-0.0007055479268570675
2017-06-13,0.00874695005336407
2017-06-14,-0.009594553255437524
2017-06-15,-0.0010768097487577864
2017-06-16,-0.0037498139898914824
2017-06-19,0.009910480610928496
2017-06-20,-0.002206339838573179
2017-06-21,0.014913048354537144
2017-06-22,-0.006004499437213961
2017-06-23,0.005334711976659981
2017-06-26,0.016645744717757493
2017-06-27,0.0017409558768467321
2017-06-28,-0.009016363258615934
2017-06-29,0.006101645881187585
2017-06-30,6.0243006184061264e-05
2017-07-03,-0.009509602787699741
2017-07-04,-0.006384191056881269
2017-07-05,0.014790431592346782
2017-07-06,0.0033799244439290353
2017-07-07,-0.00030087061381984105
2017-07-10,0.00026857961061612723
2017-07-11,-0.0004423654935589653
2017-07-12,-0.005098474721726461
2017-07-13,0.0016772223158193268
2017-07-14,0.008872508510326874
2017-07-17,-0.012677703286741681
2017-07-18,0.00457253565930027
2017-07-19,0.027178486232942937
2017-07-20,0.007485646641529323
2017-07-21,-0.0005052133993046827
2017-07-24,0.0021241188326121836
2017-07-25,-0.005736896780374124
2017-07-26,-0.0071703961133677396
2017-07-27,-0.003296012996151731
2017-07-28,0.003909446141007196
2017-07-31,0.013741251826423783
2017-08-01,0.005771232380706136
2017-08-02,-0.0041800876436589845
2017-08-03,-0.006528164415117491
2017-08-04,-0.005576095829037982
2017-08-07,0.007121341866324699
2017-08-08,0.0002317489865615457
2017-08-09,0.005372487966239654
2017-08-10,0.001684299394559329
2017-08-11,-0.02229112701767785
2017-08-14,0.013991997395186187
2017-08-15,0.0041197248482836785
2017-08-16,0.0006883059180636804
2017-08-17,0.0014614919792691654
2017-08-18,0.0031609775506170725
2017-08-21,0.002797554579402465
2017-08-22,-0.0008687383316234013
2017-08-23,-0.0013785265585235964
2017-08-24,-0.005203000989441168
2017-08-25,0.010446903783298177
2017-08-28,0.014994860796840606
2017-08-29,-0.0029515983601929524
2017-08-30,0.0029366700662322902
2017-08-31,-0.005224820847656496
2017-09-01,0.0023434624515092923
2017-09-04,0.009822470650456156
2017-09-05,0.0056612924402679584
2017-09-06,-0.001050317149229263
2017-09-07,-0.00824015885442023
2017-09-08,0.004165827381068383
2017-09-11,0.005093714200732782
2017-09-12,-0.0008776290859213163
2017-09-13,0.0032424561727543003
2017-09-14,-0.007112973591963368
2017-09-15,0.0016096110042755167
2017-09-18,0.010805035200755774
2017-09-19,-0.006141195606084334
2017-09-20,0.00506957512468488
2017-09-21,-0.001955609984419915
2017-09-22,5.4815746792813565e-05
2017-09-25,-0.00010013971600166438
2017-09-26,0.0011207848931444814
2017-09-27,0.006546067731670439
2017-09-28,0.004507619943905986
2017-09-29,0.0020980358092572158
2017-10-09,0.012357497978722673
2017-10-10,0.004464041181216207
2017-10-11,0.008503906992557361
2017-10-12,0.004738971326971793
2017-10-13,0.003957629112937054
2017-10-16,0.0006497257132536018
2017-10-17,9.711715106833772e-05
2017-10-18,0.011813090835377911
2017-10-19,-0.0038767338904947017
2017-10-20,-0.005119023275468059
2017-10-23,0.0011312744901344268
2017-10-24,0.012415766932526863
2017-10-25,0.006462864764714923
2017-10-26,0.0020309950793424127
2017-10-27,0.007198734437383137
2017-10-30,-0.0025903213825042267
2017-10-31,-1.4375252248413845e-05
2017-11-01,-0.0034956074283543003
2017-11-02,-0.0008525035848507687
2017-11-03,-0.0040247953392747605
2017-11-06,0.016214343529303194
2017-11-07,0.00503133450255622
2017-11-08,-0.006923001821778057
2017-11-09,0.006829939250213024
2017-11-10,0.009363021118343669
2017-11-13,0.008040123654970964
2017-11-14,-0.006649633002909787
2017-11-15,-0.008939688135174886
2017-11-16,0.009495063238210429
2017-11-17,-0.00480454613422578
2017-11-20,0.014770196444385032
2017-11-21,0.01192366866263728
2017-11-22,-0.005412011017609815
2017-11-23,-0.03232304227326497
2017-11-24,0.008600586882820595
2017-11-27,-0.01896543037997771
2017-11-28,0.010487841028932639
2017-11-29,0.001121374669009427
2017-11-30,-0.010638941204032172
2017-12-01,0.0045306206364870705
2017-12-04,-0.0008973411527425101
2017-12-05,-0.01806529516511121
2017-12-06,0.004535080431708801
2017-12-07,-0.013935068786681978
2017-12-08,0.015323489799107295
2017-12-11,0.022381092370168536
2017-12-12,-0.005168486414899247
2017-12-13,0.005820517075013553
2017-12-14,-0.0018730446835636813
2017-12-15,-0.012159732371959133
2017-12-18,-0.005018573982368923
2017-12-19,0.012560855504496295
2017-12-20,-0.004894647096031537
2017-12-21,0.010299927565323108
2017-12-22,-0.004318872702028687
2017-12-25,-0.00987114482979637
2017-12-26,0.002092262117917217
2017-12-27,-0.0027872007063276787
2017-12-28,0.005052665955682016
2017-12-29,-0.0009531656275358744
2018-01-02,0.013209241989192983
2018-01-03,0.011359986697936574
2018-01-04,0.008032449053182534
2018-01-05,-0.004730991740829445
2018-01-08,0.001246551738900814
2018-01-09,0.0036060131327025234
2018-01-10,-0.0007762811867366599
2018-01-11,0.00223281409589462
2018-01-12,-0.0022351423453261347
2018-01-15,-0.02837527741364289
2018-01-16,3.8509089605723916e-05
2018-01-17,-0.010999374642674364
2018-01-18,0.007900858623419051
2018-01-19,0.003913295476004452
2018-01-22,0.015155742829515005
2018-01-23,0.0074822193859784775
2018-01-24,0.004289254128389263
2018-01-25,-0.0007791680366425013
2018-01-26,-0.00014666165984379012
2018-01-29,-0.01716094381452987
2018-01-30,-0.0010878353510224508
2018-01-31,-0.009063924459442466
2018-02-01,-0.014867236482793394
2018-02-02,0.009647542962058043
2018-02-05,-0.010655345785439757
2018-02-06,-0.04928306519813133
2018-02-07,-0.006003013851341635
2018-02-08,0.015311278676288806
2018-02-09,-0.029937575033150726
2018-02-12,0.034936884240576054
2018-02-13,0.00013160623862343865
2018-02-14,0.005902497625814574
2018-02-22,0.0301411943017312
2018-02-23,0.006945234396383768
2018-02-26,0.028252478731187303
2018-02-27,-0.006956859924456455
2018-02-28,-0.0030457263000763348
2018-03-01,0.013746811319190566
2018-03-02,-0.006854052688551517
2018-03-05,0.0042068098432413315
2018-03-06,0.0112838455576602
2018-03-07,-0.00493061201901331
2018-03-08,0.008929699063434358
2018-03-09,0.009602669926509103
2018-03-12,0.005667231907201768
2018-03-13,-0.008645154198330854
2018-03-14,-0.005531285977804394
2018-03-15,0.00411716874251481
2018-03-16,-0.008752880919415831
2018-03-19,0.0009816504668364115
2018-03-20,0.0014680221058581578
2018-03-21,0.00012401092627943133
2018-03-22,-0.008497476893025982
2018-03-23,-0.031815028291836266
2018-03-26,0.012555244715201258
2018-03-27,0.021214350423511014
2018-03-28,-0.014837396575878254
2018-03-29,0.012043343333118416
2018-03-30,0.009318434160229691
2018-04-02,-0.006723523378352069
2018-04-03,-0.005646517184423935
2018-04-04,-0.0023983217187109386
2018-04-09,0.00037029426198772374
2018-04-10,0.014988283128716945
2018-04-11,0.00036445580470480715
2018-04-12,-0.007863146025901581
2018-04-13,-0.005777318995818417
2018-04-16,-0.014088378705027264
2018-04-17,-0.010385564489911346
2018-04-18,0.007113913318618283
2018-04-19,0.012007323461357734
2018-04-20,-0.012389524751073595
2018-04-23,0.001013824909921151
2018-04-24,0.024124981379224173
2018-04-25,0.002027714039371664
2018-04-26,-0.015355150728432012
2018-04-27,0.0007096838051975729
2018-05-02,-0.0009760108406453228
2018-05-03,0.011911322668874638
2018-05-04,-0.004216201871572311
2018-05-07,0.01728590596949286
2018-05-08,0.012268052640315984
2018-05-09,-0.0013973234593075681
2018-05-10,0.0054549955637516875
2018-05-11,-0.0067277892856659974
2018-05-14,0.013080936208486736
2018-05-15,0.0014022870584914035
2018-05-16,-0.011796633584800856
2018-05-17,-0.005482546632354128
2018-05-18,0.010400606099414166
2018-05-21,0.019596658228391763
2018-05-22,0.0008797556127433529
2018-05-23,-0.016741661310240217
2018-05-24,-0.008665582520851214
2018-05-25,-0.006650536050216673
2018-05-28,0.0008075311458096814
2018-05-29,-0.005681823203076192
2018-05-30,-0.02979711891634334
2018-05-31,0.015973811520628357
2018-06-01,-0.017202286861438616
2018-06-04,0.004545493820347813
2018-06-05,0.00818328964586347
2018-06-06,-0.002338805633258008
2018-06-07,-0.004816892057869679
2018-06-08,-0.009960574223328026
2018-06-11,-0.011135397117104784
2018-06-12,0.029550821847432625
2018-06-13,-0.014264975944272206
2018-06-14,-0.008811950012734784
2018-06-15,-0.00738420343941587
2018-06-19,-0.03742334206056534
2018-06-20,0.020522013598087495
2018-06-21,-0.005376039521508679
2018-06-22,0.013557884590482738
2018-06-25,0.001351118470359357
2018-06-26,-0.010145564415409298
2018-06-27,-0.027178197068092592
2018-06-28,-0.020208874041886146
2018-06-29,0.02914811544332998
2018-07-02,-0.012924994850579338
2018-07-03,-0.008546101952054084
2018-07-04,-0.014960870602660192
2018-07-05,-0.018207859037383024
2018-07-06,0.0046199823703695206
2018-07-09,0.034142850683745854
2018-07-10,0.006891962201114327
2018-07-11,-0.012976555451883512
2018-07-12,0.022131756846607425
2018-07-13,0.01883185849591639
2018-07-16,-0.0007540524143716828
2018-07-17,-0.00990064815876758
2018-07-18,-0.005854687766992938
2018-07-19,-0.00886410526744485
